	60 min
	5 pts AAv smooth of "60"
0.0176056338028169	1.4905046433862E-5
0.0352112676056338	1.50667813572003E-5
0.0528169014084507	1.50116326098878E-5
0.0704225352112676	1.63524867763217E-5
0.0880281690140845	1.70713574082711E-5
0.105633802816901	1.77559414126086E-5
0.123239436619718	1.87451248076323E-5
0.140845070422535	1.895498510427E-5
0.158450704225352	1.77786692979709E-5
0.176056338028169	1.70592805268781E-5
0.193661971830986	1.60584568690482E-5
0.211267605633803	1.59620570241503E-5
0.22887323943662	1.54452722461996E-5
0.246478873239437	1.57041543792715E-5
0.264084507042254	1.58148368070282E-5
0.28169014084507	1.54999966589443E-5
0.299295774647887	1.5590820894853E-5
0.316901408450704	1.71651183736893E-5
0.334507042253521	1.72151907052933E-5
0.352112676056338	1.74824277406615E-5
0.369718309859155	1.77130394906782E-5
0.387323943661972	1.74756787907548E-5
0.404929577464789	1.69429099378624E-5
0.422535211267606	1.68096577474039E-5
0.440140845070423	1.65266802252869E-5
0.457746478873239	1.65656010656506E-5
0.475352112676056	1.69655691813346E-5
0.492957746478873	1.76076458605559E-5
0.51056338028169	1.78368385761944E-5
0.528169014084507	1.82720918895881E-5
0.545774647887324	1.83642301386945E-5
0.563380281690141	1.81557354383121E-5
0.580985915492958	1.76294810845667E-5
0.598591549295775	1.73424161367158E-5
0.616197183098592	1.69863444119722E-5
0.633802816901408	1.71725702423522E-5
0.651408450704225	1.74493865162952E-5
0.669014084507042	1.77382917308589E-5
0.686619718309859	1.7815693867441E-5
0.704225352112676	1.77846754373544E-5
0.721830985915493	1.77226362886361E-5
0.73943661971831	1.77666056880853E-5
0.757042253521127	1.78331024494351E-5
0.774647887323944	1.8049892349899E-5
0.792253521126761	1.82552704907829E-5
0.809859154929577	1.85343925473882E-5
0.827464788732394	1.87809985119269E-5
0.845070422535211	1.90346970312954E-5
0.862676056338028	1.9120837720082E-5
0.880281690140845	1.88479012547567E-5
0.897887323943662	1.82997301645247E-5
0.915492957746479	1.77883727163914E-5
0.933098591549296	1.77020937379599E-5
0.950704225352113	1.79099750322249E-5
0.96830985915493	1.83174737192107E-5
0.985915492957747	1.85719624257077E-5
1.00352112676056	1.87667874474919E-5
1.02112676056338	1.8816932107579E-5
1.0387323943662	1.9172108846625E-5
1.05633802816901	1.95763527332648E-5
1.07394366197183	1.98982978661532E-5
1.09154929577465	1.99500064018613E-5
1.10915492957746	1.98675520977251E-5
1.12676056338028	1.97891229983118E-5
1.1443661971831	1.98779899141389E-5
1.16197183098592	2.02167494434281E-5
1.17957746478873	2.16297062365513E-5
1.19718309859155	2.35768067875579E-5
1.21478873239437	2.55927650736581E-5
1.23239436619718	2.73532085986384E-5
1.25	2.84212198615458E-5
1.26760563380282	2.87568953345999E-5
1.28521126760563	2.93074246129229E-5
1.30281690140845	3.04013959500873E-5
1.32042253521127	3.19582007902533E-5
1.33802816901408	3.34741277944526E-5
1.3556338028169	3.45949324714116E-5
1.37323943661972	3.50992942842905E-5
1.39084507042254	3.47829236611152E-5
1.40845070422535	3.41504666532695E-5
1.42605633802817	3.40676375348918E-5
1.44366197183099	3.55017970985663E-5
1.4612676056338	3.84233347465854E-5
1.47887323943662	4.23443646947791E-5
1.49647887323944	4.65614785438922E-5
1.51408450704225	5.00482632412454E-5
1.53169014084507	5.39208994189584E-5
1.54929577464789	5.69939544235687E-5
1.5669014084507	5.88781321579498E-5
1.58450704225352	5.95869937257952E-5
1.60211267605634	5.89328348616211E-5
1.61971830985915	5.66309637309676E-5
1.63732394366197	5.4980924178879E-5
1.65492957746479	5.31746622093411E-5
1.67253521126761	5.14125698959127E-5
1.69014084507042	5.0415481811715E-5
1.70774647887324	5.02006045760068E-5
1.72535211267606	5.04788297351237E-5
1.74295774647887	5.13264452836883E-5
1.76056338028169	5.23275852236491E-5
1.77816901408451	5.37087426623191E-5
1.79577464788732	5.43625980130208E-5
1.81338028169014	5.61391314544604E-5
1.83098591549296	5.78760760008892E-5
1.84859154929577	6.01424815794197E-5
1.86619718309859	6.33467314176845E-5
1.88380281690141	6.67911363623484E-5
1.90140845070423	6.82153548095862E-5
1.91901408450704	6.96070699195871E-5
1.93661971830986	7.04387784482836E-5
1.95422535211268	7.17168674230204E-5
1.97183098591549	7.43118934215955E-5
1.98943661971831	7.7687268463699E-5
2.00704225352113	8.13952758154251E-5
2.02464788732394	8.59339830472804E-5
2.04225352112676	9.49729675674996E-5
2.05985915492958	1.11253181885696E-4
2.07746478873239	1.25309685957687E-4
2.09507042253521	1.34907545741031E-4
2.11267605633803	1.39291055177085E-4
2.13028169014085	1.36970403456137E-4
2.14788732394366	1.33095287274666E-4
2.16549295774648	1.36185267987221E-4
2.1830985915493	1.42545393014281E-4
2.20070422535211	1.55403895668882E-4
2.21830985915493	1.68534079609267E-4
2.23591549295775	1.81489314010741E-4
2.25352112676056	1.93189417192499E-4
2.27112676056338	2.03147822984979E-4
2.2887323943662	2.12857943568016E-4
2.30633802816901	2.39942730018346E-4
2.32394366197183	2.82308885044517E-4
2.34154929577465	3.08573532059327E-4
2.35915492957747	3.17499501657976E-4
2.37676056338028	3.06889299653993E-4
2.3943661971831	2.88429284471203E-4
2.41197183098592	2.99977277272512E-4
2.42957746478873	3.43144952919557E-4
2.44718309859155	3.78339642201589E-4
2.46478873239437	4.10354791778355E-4
2.48239436619718	4.17593993986766E-4
2.5	4.10823978726887E-4
2.51760563380282	4.22003025096851E-4
2.53521126760563	4.57284683507675E-4
2.55281690140845	4.96467848103453E-4
2.57042253521127	5.49062049598241E-4
2.58802816901408	5.84886310162505E-4
2.6056338028169	5.98387541439038E-4
2.62323943661972	5.88786937059869E-4
2.64084507042254	5.75603096270771E-4
2.65845070422535	5.76168048924554E-4
2.67605633802817	6.04229052386238E-4
2.69366197183099	6.51828392041453E-4
2.7112676056338	6.82532335841646E-4
2.72887323943662	6.82718247767822E-4
2.74647887323944	6.57080833692196E-4
2.76408450704225	6.36359616493122E-4
2.78169014084507	6.23522066221757E-4
2.79929577464789	6.41995999900672E-4
2.8169014084507	6.6854134882368E-4
2.83450704225352	6.75145380540278E-4
2.85211267605634	6.56179631609035E-4
2.86971830985916	6.24728002306669E-4
2.88732394366197	5.75982401784366E-4
2.90492957746479	5.23595011963076E-4
2.92253521126761	4.82504158019385E-4
2.94014084507042	4.49927819019807E-4
2.95774647887324	4.28729095792935E-4
2.97535211267606	4.14440177807599E-4
2.99295774647887	4.09412635141251E-4
3.01056338028169	4.05494122460018E-4
3.02816901408451	3.96708967973087E-4
3.04577464788732	3.84120790733116E-4
3.06338028169014	3.69969434246382E-4
3.08098591549296	3.52057500048268E-4
3.09859154929577	3.34576304974701E-4
3.11619718309859	3.18639952274833E-4
3.13380281690141	3.05920934230852E-4
3.15140845070423	3.00483660376192E-4
3.16901408450704	3.00920825410559E-4
3.18661971830986	3.01352756469684E-4
3.20422535211268	3.01435187041889E-4
3.22183098591549	3.01107705258768E-4
3.23943661971831	2.99443142575408E-4
3.25704225352113	2.98098486312805E-4
3.27464788732394	2.96000696524988E-4
3.29225352112676	2.89791936390146E-4
3.30985915492958	2.80727327316648E-4
3.32746478873239	2.69128207858752E-4
3.34507042253521	2.56941383173242E-4
3.36267605633803	2.47690114221695E-4
3.38028169014085	2.42511744763792E-4
3.39788732394366	2.36261348063845E-4
3.41549295774648	2.30143912613949E-4
3.4330985915493	2.22464110968548E-4
3.45070422535211	2.13108369928327E-4
3.46830985915493	2.07291283736333E-4
3.48591549295775	2.07765800690623E-4
3.50352112676056	2.07396271423506E-4
3.52112676056338	2.07106037767089E-4
3.5387323943662	2.07017375054272E-4
3.55633802816901	2.04690464216777E-4
3.57394366197183	2.0301583036744E-4
3.59154929577465	2.01740297731678E-4
3.60915492957747	2.01037149056276E-4
3.62676056338028	2.15548232713285E-4
3.6443661971831	2.18471620693833E-4
3.66197183098592	2.13724928083865E-4
3.67957746478873	1.98790426810768E-4
3.69718309859155	1.75711133558306E-4
3.71478873239437	1.49823621675678E-4
3.73239436619718	1.4516338867924E-4
3.75	1.40127685469464E-4
3.76760563380282	1.38742678863236E-4
3.78521126760563	1.38510496740467E-4
3.80281690140845	1.35479493049058E-4
3.82042253521127	1.30293381081528E-4
3.83802816901408	1.23391632010787E-4
3.8556338028169	1.14891089415885E-4
3.87323943661972	1.07102764393851E-4
3.89084507042254	1.03045755350717E-4
3.90845070422535	9.9594279327547E-5
3.92605633802817	9.60944373927502E-5
3.94366197183099	9.17688975482002E-5
3.9612676056338	8.71228289592385E-5
3.97887323943662	8.43592224081598E-5
3.99647887323944	8.40358290633186E-5
4.01408450704225	8.44243281393541E-5
4.03169014084507	8.46998083461322E-5
4.04929577464789	8.4378403495578E-5
4.0669014084507	8.2855959570954E-5
4.08450704225352	8.13655311933707E-5
4.10211267605634	8.00475588511861E-5
4.11971830985916	7.85784363035292E-5
4.13732394366197	7.56887337738636E-5
4.15492957746479	7.19934851311564E-5
4.17253521126761	6.77155967020446E-5
4.19014084507042	6.42013500039475E-5
4.20774647887324	6.13957579759174E-5
4.22535211267606	5.98852831775258E-5
4.24295774647887	5.85671689262026E-5
4.26056338028169	5.7664091311529E-5
4.27816901408451	5.68385957498336E-5
4.29577464788732	5.64482129899029E-5
4.31338028169014	5.60288551031428E-5
4.33098591549296	5.53634029552206E-5
4.34859154929577	5.40179600830325E-5
4.36619718309859	5.20021549604343E-5
4.38380281690141	4.97548061793363E-5
4.40140845070423	4.74111471055916E-5
4.41901408450704	4.50473225652719E-5
4.43661971830986	4.27804733415443E-5
4.45422535211268	4.06231593807621E-5
4.47183098591549	3.87745634665864E-5
4.48943661971831	3.82556223651731E-5
4.50704225352113	3.84732354351409E-5
4.52464788732394	3.88112807266576E-5
